Order ID;Order Date;On Truck Scan Date;Ship Mode
CA-2019-125206;3/1/2019;07/01/2019;Express
CA-2019-160304;2/1/2019;09/01/2019;Standard Processing
CA-2019-160304;2/1/2019;09/01/2019;Standard Processing
US-2019-116365;3/1/2019;09/01/2019;Standard Processing
US-2019-116365;3/1/2019;09/01/2019;Standard Processing
US-2019-116365;3/1/2019;09/01/2019;Standard Processing
CA-2019-105207;3/1/2019;09/01/2019;Standard Processing
CA-2019-105207;3/1/2019;09/01/2019;Standard Processing
CA-2019-158211;4/1/2019;09/01/2019;Standard Processing
CA-2019-158211;4/1/2019;09/01/2019;Standard Processing
CA-2019-134474;5/1/2019;11/01/2019;Standard Processing
CA-2019-134474;5/1/2019;11/01/2019;Standard Processing
CA-2019-134474;5/1/2019;11/01/2019;Standard Processing
US-2019-164630;4/1/2019;11/01/2019;Standard Processing
CA-2019-158806;7/1/2019;14/01/2019;Standard Processing
CA-2019-158806;7/1/2019;14/01/2019;Standard Processing
CA-2019-140746;15/1/2019;16/01/2019;Express
CA-2019-126543;9/1/2019;16/01/2019;Standard Processing
CA-2019-163937;10/1/2019;16/01/2019;Standard Processing
CA-2019-126529;11/1/2019;16/01/2019;Standard Processing
CA-2019-126529;11/1/2019;16/01/2019;Standard Processing
CA-2019-126529;11/1/2019;16/01/2019;Standard Processing
CA-2019-101938;7/1/2019;16/01/2019;Standard Processing
US-2019-100461;8/1/2019;16/01/2019;Standard Processing
US-2019-100461;8/1/2019;16/01/2019;Standard Processing
US-2019-137295;8/1/2019;16/01/2019;Standard Processing
US-2019-137295;8/1/2019;16/01/2019;Standard Processing
US-2019-137295;8/1/2019;16/01/2019;Standard Processing
CA-2019-108882;9/1/2019;16/01/2019;Standard Processing
CA-2019-108882;9/1/2019;16/01/2019;Standard Processing
CA-2019-141887;11/1/2019;16/01/2019;Standard Processing
CA-2019-166912;15/1/2019;18/01/2019;Express
CA-2019-116547;10/1/2019;18/01/2019;Standard Processing
CA-2019-116547;10/1/2019;18/01/2019;Standard Processing
CA-2019-121755;16/1/2019;23/01/2019;Standard Processing
CA-2019-121755;16/1/2019;23/01/2019;Standard Processing
CA-2019-133368;14/1/2019;23/01/2019;Standard Processing
CA-2019-133368;14/1/2019;23/01/2019;Standard Processing
CA-2019-152072;15/1/2019;23/01/2019;Standard Processing
CA-2019-152072;15/1/2019;23/01/2019;Standard Processing
CA-2019-152072;15/1/2019;23/01/2019;Standard Processing
CA-2019-137848;15/1/2019;23/01/2019;Standard Processing
CA-2019-137848;15/1/2019;23/01/2019;Standard Processing
CA-2019-137848;15/1/2019;23/01/2019;Standard Processing
CA-2019-116736;17/1/2019;23/01/2019;Standard Processing
CA-2019-116736;17/1/2019;23/01/2019;Standard Processing
CA-2019-116736;17/1/2019;23/01/2019;Standard Processing
CA-2019-106558;17/1/2019;23/01/2019;Standard Processing
US-2019-167339;21/1/2019;25/01/2019;Standard Processing
US-2019-167339;21/1/2019;25/01/2019;Standard Processing
CA-2019-153346;25/1/2019;28/01/2019;Express
CA-2019-153346;25/1/2019;28/01/2019;Express
CA-2019-109407;24/1/2019;30/01/2019;Standard Processing
CA-2019-168046;25/1/2019;30/01/2019;Standard Processing
CA-2019-168046;25/1/2019;30/01/2019;Standard Processing
CA-2019-168046;25/1/2019;30/01/2019;Standard Processing
CA-2019-168046;25/1/2019;30/01/2019;Standard Processing
CA-2019-111010;22/1/2019;30/01/2019;Standard Processing
US-2019-135923;22/1/2019;30/01/2019;Standard Processing
US-2019-135923;22/1/2019;30/01/2019;Standard Processing
US-2019-135923;22/1/2019;30/01/2019;Standard Processing
CA-2019-138079;22/1/2019;30/01/2019;Standard Processing
CA-2019-146318;22/1/2019;30/01/2019;Standard Processing
CA-2019-125850;22/1/2019;30/01/2019;Standard Processing
CA-2019-125850;22/1/2019;30/01/2019;Standard Processing
CA-2019-148208;22/1/2019;30/01/2019;Standard Processing
CA-2019-148208;22/1/2019;30/01/2019;Standard Processing
US-2019-155180;22/1/2019;30/01/2019;Standard Processing
CA-2019-113656;23/1/2019;30/01/2019;Standard Processing
US-2019-165505;23/1/2019;30/01/2019;Standard Processing
US-2019-165505;23/1/2019;30/01/2019;Standard Processing
US-2019-165505;23/1/2019;30/01/2019;Standard Processing
CA-2019-153661;30/1/2019;01/02/2019;Express
CA-2019-153661;30/1/2019;01/02/2019;Express
CA-2019-153661;30/1/2019;01/02/2019;Express
US-2019-140809;1/2/2019;04/02/2019;Express
CA-2019-146437;28/1/2019;04/02/2019;Standard Processing
US-2019-166660;30/1/2019;04/02/2019;Standard Processing
US-2019-166660;30/1/2019;04/02/2019;Standard Processing
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
